round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
15,m741,0.6942148760330579,0.7378640776694028,0.9916759047892039,0.6610112190246582,17084,adasyn,0.01
15,m2310,0.6470588235294118,0.6847826086951592,0.9913876287377146,0.6731411218643188,20860,adasyn,0.01
15,m544,0.6308724832214765,0.6554621848734622,0.9944183424786076,0.7750348448753357,17707,adasyn,0.01
16,m741,0.7,0.7378640776694028,0.9915769043483066,0.6589658260345459,17084,adasyn,0.01
16,m1818,0.5897435897435898,0.6782608695647491,0.9929084986596932,0.8438613414764404,17025,adasyn,0.01
16,m2310,0.6534653465346535,0.6847826086951592,0.9912688245069741,0.6748045086860657,20860,adasyn,0.01
16,m544,0.6308724832214765,0.6567164179099481,0.9943608250302788,0.6379174590110779,17707,adasyn,0.01
17,m1818,0.5844155844155844,0.6724137931029773,0.992851969825072,0.8286162614822388,17025,adasyn,0.01
17,m741,0.7,0.7368421052626632,0.9914479735415567,0.5545520782470703,17084,adasyn,0.01
17,m2310,0.6534653465346535,0.6878306878301917,0.9912903402338011,0.6172411441802979,20860,adasyn,0.01
17,m544,0.6301369863013698,0.6567164179099481,0.9943493215406132,0.6402074098587036,17707,adasyn,0.01
18,m741,0.6942148760330579,0.7476635514013702,0.9916586372704427,0.6254950761795044,17084,adasyn,0.01
18,m1818,0.5897435897435898,0.6666666666661933,0.9926627211178618,0.8189817667007446,17025,adasyn,0.01
18,m2310,0.6567164179104478,0.6885245901634423,0.9912547925112174,0.6598352789878845,20860,adasyn,0.01
18,m544,0.6301369863013698,0.6567164179099481,0.9943747935534443,0.6286631226539612,17707,adasyn,0.01
19,m741,0.6885245901639344,0.7450980392151862,0.9917357655209093,0.6690149307250977,17084,adasyn,0.01
19,m1818,0.5935483870967742,0.64999999999952,0.9926020959908769,0.8044817447662354,17025,adasyn,0.01
19,m2310,0.6534653465346535,0.680628272250812,0.9911373914800528,0.6277469992637634,20860,adasyn,0.01
19,m544,0.6344827586206897,0.6567164179099481,0.9943715068421115,0.6211158633232117,17707,adasyn,0.01
20,m741,0.7,0.7450980392151862,0.9918428241372285,0.6618146300315857,17084,adasyn,0.01
20,m1818,0.5974025974025974,0.64999999999952,0.9925766989782208,0.803260087966919,17025,adasyn,0.01
20,m2310,0.6567164179104478,0.680628272250812,0.9910162485833531,0.6169340014457703,20860,adasyn,0.01
20,m544,0.6433566433566433,0.6567164179099481,0.9943468565071134,0.6225117444992065,17707,adasyn,0.01
1,m1818,0.4788732394366197,0.6406249999995078,0.9927643091684855,0.9044266939163208,17025,adasyn,0.01
1,m741,0.5058823529411764,0.7378640776694028,0.9890708117921037,0.857369601726532,17084,adasyn,0.01
1,m2310,0.5401459854014599,0.666666666666177,0.9912702277065497,0.8798749446868896,20860,adasyn,0.01
1,m544,0.5373134328358209,0.6446280991730636,0.9944339543574396,0.9172712564468384,17707,adasyn,0.01
2,m1818,0.5,0.6446280991730716,0.9930830007143934,0.9154332280158997,17025,adasyn,0.01
2,m741,0.5341614906832298,0.7378640776694028,0.9888992877724095,0.8390812277793884,17084,adasyn,0.01
2,m2310,0.5769230769230769,0.670329670329179,0.9917234611694921,0.8477976322174072,20860,adasyn,0.01
2,m544,0.5625,0.6504065040645479,0.9945079053624339,0.8734838366508484,17707,adasyn,0.01
3,m1818,0.5204081632653061,0.6406249999995078,0.9931477221337424,0.8571913838386536,17025,adasyn,0.01
3,m741,0.5641025641025641,0.7378640776694028,0.9887622987902376,0.8251535892486572,17084,adasyn,0.01
3,m2310,0.5896414342629482,0.670329670329179,0.9917954920810432,0.824354887008667,20860,adasyn,0.01
3,m544,0.572972972972973,0.6557377049175412,0.9944906501279354,0.8655704855918884,17707,adasyn,0.01
4,m1818,0.5212765957446809,0.6456692913380916,0.9932321057564377,0.8434050679206848,17025,adasyn,0.01
4,m741,0.5620915032679739,0.7254901960779313,0.9885942282742957,0.7989127039909363,17084,adasyn,0.01
4,m2310,0.5907172995780591,0.6631016042775799,0.9920611645340371,0.7465816140174866,20860,adasyn,0.01
4,m544,0.5604395604395604,0.6504065040645479,0.9944659997929371,0.8494659662246704,17707,adasyn,0.01
5,m741,0.581081081081081,0.7391304347821145,0.9886080422893045,0.8722987174987793,17084,adasyn,0.01
5,m1818,0.5274725274725275,0.6456692913380916,0.9932116242946185,0.8182569146156311,17025,adasyn,0.01
5,m2310,0.6167400881057269,0.6739130434777679,0.9919400216373375,0.7496587634086609,20860,adasyn,0.01
5,m544,0.576271186440678,0.6557377049175412,0.9944635347594373,0.8388923406600952,17707,adasyn,0.01
6,m1818,0.5310734463276836,0.64999999999952,0.9932566835106209,0.855327844619751,17025,adasyn,0.01
6,m741,0.5972222222222222,0.7391304347821145,0.9895692675003425,0.859874963760376,17084,adasyn,0.01
6,m2310,0.6194690265486725,0.680628272250812,0.9916902521128677,0.6740132570266724,20860,adasyn,0.01
6,m544,0.5862068965517241,0.6557377049175412,0.9944512095919382,0.8311176896095276,17707,adasyn,0.01
7,m741,0.6277372262773723,0.7446808510633334,0.9904383992779875,0.8314557075500488,17084,adasyn,0.01
7,m1818,0.5549132947976878,0.6456692913380916,0.9932558642521481,0.7972029447555542,17025,adasyn,0.01
7,m2310,0.6216216216216216,0.6844919786091307,0.9913679839436549,0.7015773057937622,20860,adasyn,0.01
7,m544,0.5930232558139535,0.6611570247928983,0.9943764369091109,0.8142062425613403,17707,adasyn,0.01
8,m1818,0.5443786982248521,0.6456692913380916,0.9932796227478584,0.7837021350860596,17025,adasyn,0.01
8,m741,0.6363636363636364,0.7446808510633334,0.9903175266466593,0.8195761442184448,17084,adasyn,0.01
8,m2310,0.6216216216216216,0.684210526315293,0.9912402927822689,0.6532886624336243,20860,adasyn,0.01
8,m544,0.6035502958579881,0.6666666666661778,0.9944199858342742,0.8056515455245972,17707,adasyn,0.01
9,m1818,0.5575757575757576,0.6412213740453064,0.9932476716674205,0.7180291414260864,17025,adasyn,0.01
9,m741,0.6614173228346457,0.7446808510633334,0.9908804477582732,0.8130080103874207,17084,adasyn,0.01
9,m2310,0.6188340807174888,0.684210526315293,0.9911336496145177,0.6437230110168457,20860,adasyn,0.01
9,m544,0.6071428571428571,0.6611570247928983,0.9944273809347736,0.7892425656318665,17707,adasyn,0.01
10,m741,0.65625,0.7526881720425155,0.9909426108258133,0.812701404094696,17084,adasyn,0.01
10,m1818,0.5609756097560976,0.6515151515146556,0.9932345635318561,0.7156562209129333,17025,adasyn,0.01
10,m2310,0.6359447004608295,0.684210526315293,0.9912080191920283,0.6377382874488831,20860,adasyn,0.01
10,m544,0.6172839506172839,0.6611570247928983,0.9944528529476049,0.783100426197052,17707,adasyn,0.01
11,m741,0.6829268292682927,0.7454545454540481,0.9910335530912888,0.638559877872467,17084,adasyn,0.01
11,m1818,0.5714285714285714,0.6515151515146556,0.9932091665192001,0.6976804137229919,17025,adasyn,0.01
11,m2310,0.6330275229357798,0.6839378238336992,0.9911907130639284,0.5915867686271667,20860,adasyn,0.01
11,m544,0.6282051282051282,0.6610169491520566,0.9944610697259376,0.8104705810546875,17707,adasyn,0.01
12,m741,0.6885245901639344,0.7454545454540481,0.9912096817826526,0.6233081221580505,17084,adasyn,0.01
12,m1818,0.5786163522012578,0.6615384615379674,0.9931993354175269,0.711142361164093,17025,adasyn,0.01
12,m2310,0.6384976525821596,0.6881720430102584,0.9912234543873607,0.6541269421577454,20860,adasyn,0.01
12,m544,0.632258064516129,0.6610169491520566,0.9944766816047697,0.8014742136001587,17707,adasyn,0.01
13,m1818,0.569620253164557,0.6615384615379674,0.9931108555024676,0.7197172045707703,17025,adasyn,0.01
13,m741,0.6942148760330579,0.7474747474742479,0.9912626355068535,0.7316319942474365,17084,adasyn,0.01
13,m2310,0.638095238095238,0.6881720430102584,0.9913544196810902,0.6597061157226562,20860,adasyn,0.01
13,m544,0.631578947368421,0.651851851851352,0.9944742165712698,0.6328219771385193,17707,adasyn,0.01
14,m1818,0.5822784810126582,0.6782608695647491,0.9929707623036238,0.8333796858787537,17025,adasyn,0.01
14,m741,0.7,0.7407407407402423,0.9914422177019696,0.6415104269981384,17084,adasyn,0.01
14,m2310,0.6439024390243903,0.6847826086951592,0.9913923060696332,0.664948046207428,20860,adasyn,0.01
14,m544,0.6351351351351351,0.651851851851352,0.9944298459682733,0.6349193453788757,17707,adasyn,0.01
15,m1818,0.5732484076433121,0.6725663716809536,0.9929977978332252,0.8463400602340698,17025,adasyn,0.01
15,m741,0.6942148760330579,0.7378640776694028,0.9916759047892039,0.6610112190246582,17084,adasyn,0.01
15,m2310,0.6470588235294118,0.6847826086951592,0.9913876287377146,0.6731411218643188,20860,adasyn,0.01
15,m544,0.6308724832214765,0.6554621848734622,0.9944183424786076,0.7750348448753357,17707,adasyn,0.01
16,m1818,0.5897435897435898,0.6782608695647491,0.9929084986596932,0.8438613414764404,17025,adasyn,0.01
16,m741,0.7,0.7378640776694028,0.9915769043483066,0.6589658260345459,17084,adasyn,0.01
16,m2310,0.6534653465346535,0.6847826086951592,0.9912688245069741,0.6748045086860657,20860,adasyn,0.01
16,m544,0.6308724832214765,0.6567164179099481,0.9943608250302788,0.6379174590110779,17707,adasyn,0.01
17,m741,0.7,0.7368421052626632,0.9914479735415566,0.5545520186424255,17084,adasyn,0.01
17,m2310,0.6534653465346535,0.6878306878301917,0.9912903402338011,0.6172411441802979,20860,adasyn,0.01
17,m1818,0.5844155844155844,0.6724137931029773,0.992851969825072,0.8286162614822388,17025,adasyn,0.01
17,m544,0.6301369863013698,0.6567164179099481,0.9943493215406131,0.6402074098587036,17707,adasyn,0.01
18,m741,0.6942148760330579,0.7476635514013702,0.9916586372704427,0.6254950761795044,17084,adasyn,0.01
18,m1818,0.5897435897435898,0.6666666666661933,0.9926627211178618,0.8189817667007446,17025,adasyn,0.01
18,m2310,0.6567164179104478,0.6885245901634423,0.9912547925112174,0.6598352789878845,20860,adasyn,0.01
18,m544,0.6301369863013698,0.6567164179099481,0.9943747935534443,0.6286631226539612,17707,adasyn,0.01
19,m1818,0.5935483870967742,0.64999999999952,0.9926020959908768,0.8044817447662354,17025,adasyn,0.01
19,m741,0.6885245901639344,0.7450980392151862,0.9917357655209093,0.6690148711204529,17084,adasyn,0.01
19,m2310,0.6534653465346535,0.680628272250812,0.9911373914800528,0.6277469992637634,20860,adasyn,0.01
19,m544,0.6344827586206897,0.6567164179099481,0.9943715068421113,0.6211158633232117,17707,adasyn,0.01
20,m741,0.7,0.7450980392151862,0.9918428241372284,0.6618145704269409,17084,adasyn,0.01
20,m1818,0.5974025974025974,0.64999999999952,0.9925766989782208,0.803260087966919,17025,adasyn,0.01
20,m2310,0.6567164179104478,0.680628272250812,0.9910162485833531,0.6169339418411255,20860,adasyn,0.01
20,m544,0.6433566433566433,0.6567164179099481,0.9943468565071134,0.6225118041038513,17707,adasyn,0.01
21,m1818,0.5974025974025974,0.6446280991730716,0.9925381938300005,0.7934746146202087,17025,adasyn,0.01
21,m741,0.6942148760330579,0.7450980392151862,0.9919625456006391,0.669978678226471,17084,adasyn,0.01
21,m2310,0.66,0.68131868131819,0.9910821989634097,0.6561182141304016,20860,adasyn,0.01
21,m544,0.6433566433566433,0.6548672566366927,0.9943904054322765,0.7901957035064697,17707,adasyn,0.01
22,m1818,0.5974025974025974,0.6399999999995115,0.9925766989782208,0.7603850960731506,17025,adasyn,0.01
22,m741,0.6885245901639344,0.7450980392151862,0.992234221229148,0.6566368937492371,17084,adasyn,0.01
22,m2310,0.66,0.6736842105258193,0.9910737797659557,0.6217106580734253,20860,adasyn,0.01
22,m544,0.6433566433566433,0.6527777777772785,0.9944413494579392,0.4988079071044922,17707,adasyn,0.01
23,m741,0.7,0.7450980392151862,0.9924851758351435,0.6570490002632141,17084,adasyn,0.01
23,m1818,0.5974025974025974,0.6399999999995115,0.9926266737450598,0.7585200071334839,17025,adasyn,0.01
23,m2310,0.66,0.6770833333328361,0.9909811685939612,0.5770972967147827,20860,adasyn,0.01
23,m544,0.6382978723404256,0.6527777777772785,0.9944134124116081,0.4977833926677704,17707,adasyn,0.01
24,m1818,0.5882352941176471,0.6440677966096937,0.9926307700374237,0.799217700958252,17025,adasyn,0.01
